Id,date,org,tld,ccs,bcced,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,label
0,"Thu, 17 Mar 2016 01:57:16 +0000",coursera,org,0,0,multipart/alternative,23,188,0,1,38,136818,0
1,"Fri, 19 Jan 2018 05:20:29 +0000",google,com,0,0,multipart/alternative,1,6,0,0,44,2467,0
2,"Mon, 21 Aug 2017 10:54:50 +0530",iiitd,ac.in,1,0,multipart/mixed,0,1,1,0,78,2809449,2
3,"Fri, 3 Mar 2017 03:46:08 +0000",,,0,0,multipart/alternative,4,43,0,0,61,13775,0
4,"Thu, 8 Jun 2017 03:51:09 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,4,26,0,0,29,22601,1
5,"Mon, 31 Oct 2016 21:13:28 +0530",iiitd,ac.in,0,0,multipart/alternative,0,28,1,0,37,15848,2
6,"Mon, 22 Jan 2018 02:28:34 +0000 (UTC)",flipkartletters,com,0,0,text/html,42,97,1,0,88,68612,3
7,"Tue, 10 Jan 2017 03:20:53 -0600 (CST)",amazon,com,0,0,multipart/alternative,9,74,1,1,82,41354,0
8,"Thu, 11 Aug 2016 11:45:38 -0700 (PDT)",classroom,google.com,0,0,multipart/alternative,4,10,0,0,101,4294,0
9,"Tue, 10 May 2016 13:43:27 +0530",iiitd,ac.in,3,0,multipart/alternative,0,0,1,0,38,2004,2
10,"Fri, 07 Apr 2017 15:32:00 +0530",nrsc,gov.in,0,0,multipart/alternative,0,4,1,0,32,1210,0
11,"Sat, 20 Apr 2019 03:27:01 -0700",google,com,0,0,text/html,4,20,0,0,35,7156,0
12,"Sat, 11 Nov 2017 10:34:06 +0000 (UTC)",udacity,com,0,0,multipart/alternative,14,49,0,1,38,76759,3
13,"Fri, 10 Jun 2016 16:02:48 +0000",topcoder,com,0,0,multipart/alternative,12,51,0,0,66,75677,0
14,"Thu, 27 Jun 2019 05:19:48 -0700",google,com,0,0,text/html,20,84,0,0,36,25021,0
15,"Fri, 28 Aug 2015 08:54:35 -0700",facebookmail,com,0,0,multipart/alternative,4,16,0,0,33,11372,1
16,"Tue, 26 Sep 2017 17:18:40 +0000 (UTC)",datacamp,com,0,0,multipart/alternative,11,86,1,1,41,88241,3
